name	group	day	location	trt	window	trt_window
d35_jc_sub_109	d35_jc_sub	35	jc	sub	early	early_sub
d35_jc_sub_110	d35_jc_sub	35	jc	sub	early	early_sub
d35_jc_ther_111	d35_jc_ther	35	jc	ther	early	early_ther
d35_jc_ther_112	d35_jc_ther	35	jc	ther	early	early_ther
d35_jc_ther_113	d35_jc_ther	35	jc	ther	early	early_ther
d35_jc_ther_114	d35_jc_ther	35	jc	ther	early	early_ther
d35_jc_ther_115	d35_jc_ther	35	jc	ther	early	early_ther
d35_jc_ther_116	d35_jc_ther	35	jc	ther	early	early_ther
d35_jc_ther_117	d35_jc_ther	35	jc	ther	early	early_ther
d35_jc_ther_118	d35_jc_ther	35	jc	ther	early	early_ther
d35_jc_ther_119	d35_jc_ther	35	jc	ther	early	early_ther
d35_jc_ther_120	d35_jc_ther	35	jc	ther	early	early_ther
d42_cc_ctrl_121	d42_cc_ctrl	42	cc	ctrl	later	later_ctrl
d42_cc_ctrl_122	d42_cc_ctrl	42	cc	ctrl	later	later_ctrl
d42_cc_ctrl_123	d42_cc_ctrl	42	cc	ctrl	later	later_ctrl
d42_cc_ctrl_124	d42_cc_ctrl	42	cc	ctrl	later	later_ctrl
d42_cc_ctrl_125	d42_cc_ctrl	42	cc	ctrl	later	later_ctrl
d42_cc_ctrl_126	d42_cc_ctrl	42	cc	ctrl	later	later_ctrl
d42_cc_ctrl_127	d42_cc_ctrl	42	cc	ctrl	later	later_ctrl
d42_cc_ctrl_128	d42_cc_ctrl	42	cc	ctrl	later	later_ctrl
d42_cc_ctrl_129	d42_cc_ctrl	42	cc	ctrl	later	later_ctrl
d42_cc_ctrl_130	d42_cc_ctrl	42	cc	ctrl	later	later_ctrl
d42_cc_sub_131	d42_cc_sub	42	cc	sub	later	later_sub
d42_cc_sub_132	d42_cc_sub	42	cc	sub	later	later_sub
d42_cc_sub_134	d42_cc_sub	42	cc	sub	later	later_sub
d42_cc_sub_135	d42_cc_sub	42	cc	sub	later	later_sub
d42_cc_sub_136	d42_cc_sub	42	cc	sub	later	later_sub
d42_cc_sub_137	d42_cc_sub	42	cc	sub	later	later_sub
d42_cc_sub_138	d42_cc_sub	42	cc	sub	later	later_sub
d42_cc_sub_139	d42_cc_sub	42	cc	sub	later	later_sub
d42_cc_sub_140	d42_cc_sub	42	cc	sub	later	later_sub
